nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Pregunta P9.4.7 ¿Cuántas(os) Otro tiene?","1","C","p9_4_7","","1"
"Pregunta P9.5.7 ¿Algún otro integrante de su hogar ahorra en esta(s) Otro?","1","C","p9_5_7","p9_5_7","1,2"
"Pregunta P9.5A.7 Actualmente en su(s) Otro ¿cuánto tiene ahorrado (que solo sea de usted)?","9","C","p9_5a_7","p9_5a_7","000000000,000002000...000004000"
"Pregunta P9.6 Actualmente, ¿usted tiene ahorro en la(s) cuenta(s) o tarjeta(s) de nómina o pensión?","1","C","p9_6","p9_6","1,2"
"Pregunta P9.7 Hasta este momento, ¿cuál es el monto ahorrado en la(s) cuenta(s) o tarjeta(s) de nómina o pensión?","7","C","p9_7","p9_7","0000001...5000000,9999888,9999999"
"Pregunta P9.8 Actualmente, ¿usted tiene ahorro en la(s) cuenta(s) o tarjeta(s) para recibir apoyos de gobierno?","1","C","p9_8","p9_8","1,2"
"Pregunta P9.9 Hasta este momento, ¿cuál es el monto ahorrado en la(s) cuenta(s) o tarjeta(s) para recibir apoyos de gobierno?","9","C","p9_9","p9_9","000000001...000200000,999999888,999999999"
"Pregunta P9.10 ¿Usted tiene una cuenta de ahorro para el retiro o Afore?","1","C","p9_10","p9_10","1,2"
"Pregunta P9.11 ¿Cuál es el saldo total que tiene en la cuenta de ahorro para el retiro o Afore?","9","C","p9_11","p9_11","000000000...108264000,999999888,999999999"
"Pregunta P9.11A (Aunque NO tenga una cuenta de ahorro), de octubre de 2018 a la fecha, ¿guardó dinero en una cuenta de ahorro de un banco, institución financiera, o en una Afore?","1","C","p9_11a","p9_11a","1,2"
"Pregunta P9.12.1 ¿Usted tiene seguro de vida?","1","C","p9_12_1","p9_12_1","1,2"
"Pregunta P9.13.1 ¿Usted cuánto paga por la prima del seguro de vida?","6","C","p9_13_1","p9_13_1","000000...150000,999888,999999"
"Pregunta P9.14.1 Esta prima que paga, ¿es...?","1","C","p9_14_1","p9_14_1","1…4"
"Pregunta P9.15.1 El seguro de vida que tiene, ¿le permitiría retirar dinero en efectivo si quisiera?","1","C","p9_15_1","p9_15_1","1,2,9"
"Pregunta P9.16.1 Actualmente, ¿cuánto dinero puede retirar usted del seguro de vida?","6","C","p9_16_1","p9_16_1","000000,000400...700000,999888,999999"
"Pregunta P9.12.2 ¿Usted tiene seguro educativo?","1","C","p9_12_2","p9_12_2","1,2"
"Pregunta P9.13.2 ¿Usted cuánto paga por la prima del seguro educativo?","6","C","p9_13_2","p9_13_2","000000,000002...049000,999888,999999"
"Pregunta P9.14.2 Esta prima que paga, ¿es...?","1","C","p9_14_2","p9_14_2","1…4"
"Pregunta P9.12.3 ¿Usted tiene seguro de auto?","1","C","p9_12_3","p9_12_3","1,2"
"Pregunta P9.13.3 ¿Usted cuánto paga por la prima del seguro de auto?","6","C","p9_13_3","p9_13_3","000000...100000,999888,999999"
"Pregunta P9.14.3 Esta prima que paga, ¿es...?","1","C","p9_14_3","p9_14_3","1…4"
"Pregunta P9.12.4 ¿Usted tiene seguro personal contra accidentes?","1","C","p9_12_4","p9_12_4","1,2"
"Pregunta P9.13.4 ¿Usted cuánto paga por la prima del seguro personal contra accidentes?","6","C","p9_13_4","p9_13_4","000000,000010...090000,999888,999999"
"Pregunta P9.14.4 Esta prima que paga, ¿es...?","1","C","p9_14_4","p9_14_4","1…4"
"Pregunta P9.12.5 ¿Usted tiene seguro de casa?","1","C","p9_12_5","p9_12_5","1,2"
"Pregunta P9.13.5 ¿Usted cuánto paga por la prima del seguro de casa?","6","C","p9_13_5","p9_13_5","000000,000007...025000,999888,999999"
"Pregunta P9.14.5 Esta prima que paga, ¿es...?","1","C","p9_14_5","p9_14_5","1…4"
"Pregunta P9.12.6 ¿Usted tiene seguro de gastos médicos?","1","C","p9_12_6","p9_12_6","1,2"
"Pregunta P9.13.6 ¿Usted cuánto paga por la prima del seguro de gastos médicos?","6","C","p9_13_6","p9_13_6","000000,000005...160000,999888,999999"
"Pregunta P9.14.6 Esta prima que paga, ¿es...?","1","C","p9_14_6","p9_14_6","1…4"
"Pregunta P9.12.7 ¿Usted tiene plan privado de retiro (no Afore)?","1","C","p9_12_7","p9_12_7","1,2"
"Pregunta P9.13.7 ¿Usted cuánto paga por la prima del plan privado de retiro (no Afore)?","6","C","p9_13_7","p9_13_7","000000,000036...070000,999888,999999"
"Pregunta P9.14.7 Esta prima que paga, ¿es...?","1","C","p9_14_7","p9_14_7","1…4"
"Pregunta P9.12.8 ¿Usted tiene Otro?","1","C","p9_12_8","p9_12_8","1,2"
"Pregunta P9.13.8 ¿Usted cuánto paga por la prima del Otro?","6","C","p9_13_8","p9_13_8","000000,000020...016000,999999"
"Pregunta P9.14.8 Esta prima que paga, ¿es...?","1","C","p9_14_8","p9_14_8","1,2,4"
"Pregunta P10.1.1 De octubre del 2018 a la fecha, ¿usted recibió dinero de programas de apoyos del gobierno (adultos mayores, Prospera, etcétera)?","1","C","p10_1_1","p10_1_1","1,2,9"
"Pregunta P10.2.1.1 ¿Cuánto recibe normalmente de programas de apoyos del gobierno (adultos mayores, Prospera, etcétera)?","7","C","p10_2_1_1","p10_2_1_1","0000001...0120000,9999888,9999999"
"Pregunta P10.2.1.2 ¿Cada cuándo lo recibe?","1","C","p10_2_1_2","p10_2_1_2","1…8"
"Pregunta P10.1.2 De octubre del 2018 a la fecha, ¿usted recibió dinero por jubilación o pensión?","1","C","p10_1_2","p10_1_2","1,2,9"
